N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
261,롯데렌탈,"30,900",보합0,0.00%,"5,000","11,220","36,309",6.68,"15,267",9.40,7.51,
262,롯데웰푸드,"119,900","상승2,900",+2.48%,500,"11,156","9,305",12.63,"21,117",13.04,4.04,
263,태광산업,"996,000","상승6,000",+0.61%,"5,000","11,089","1,113",4.12,879,4.42,5.45,
264,RISE 미국S&P500,"19,065",하락45,-0.24%,0,"11,077","58,100",0.00,"175,360",N/A,N/A,
265,가온전선,"66,800","상승1,900",+2.93%,"5,000","11,051","16,543",1.86,"56,575",20.01,6.46,
266,TIGER TOP10,"12,960",하락175,-1.33%,0,"11,035","85,150",30.83,"255,313",N/A,N/A,
267,RISE 미국나스닥100,"23,705",하락155,-0.65%,0,"10,999","46,400",0.01,"114,864",N/A,N/A,
268,코오롱인더,"39,950",상승350,+0.88%,"5,000","10,994","27,519",13.41,"152,366",12.48,3.06,
269,세아베스틸지주,"30,500","상승1,400",+4.81%,"5,000","10,938","35,862",7.60,"149,362",107.02,1.04,
270,ESR켄달스퀘어리츠,"4,410",하락70,-1.56%,"1,000","10,853","246,089",39.34,"242,882",57.27,0.33,
271,롯데정밀화학,"41,850",상승150,+0.36%,"5,000","10,797","25,800",17.08,"46,078",-57.88,1.53,
272,한샘,"45,700",상승150,+0.33%,"1,000","10,755","23,534",13.25,"32,820",9.58,43.59,
273,삼성화재우,"342,000","상승5,500",+1.63%,500,"10,600","3,100",29.10,"9,578",8.73,N/A,
274,RISE CD금리액티브(합성),"104,420",상승15,+0.01%,0,"10,523","10,078",0.00,"3,702",N/A,N/A,
275,SNT에너지,"50,800",하락300,-0.59%,500,"10,506","20,681",8.76,"97,786",30.29,11.90,
276,1Q 머니마켓액티브,"52,510",보합0,0.00%,0,"10,466","19,932",0.00,"30,990",N/A,N/A,
277,RISE 단기특수은행채액티브,"50,175",보합0,0.00%,0,"10,454","20,836",0.00,"2,360",N/A,N/A,
278,TIGER 차이나항셍테크,"8,435",상승10,+0.12%,0,"10,392","123,200",0.23,"1,586,635",N/A,N/A,
279,STX엔진,"25,850",보합0,0.00%,"2,500","10,378","40,148",2.50,"361,866",20.37,10.15,
280,지역난방공사,"89,300","상승4,200",+4.94%,"5,000","10,340","11,579",5.17,"38,546",3.43,9.65,
281,SK디스커버리,"55,900",상승500,+0.90%,"5,000","10,256","18,348",14.50,"16,073",13.85,0.88,
282,TIGER 종합채권(AA-이상)액티브,"57,090",하락45,-0.08%,0,"10,235","17,928",0.00,"24,571",N/A,N/A,
283,효성티앤씨,"232,500","상승4,000",+1.75%,"5,000","10,062","4,328",15.94,"9,913",9.19,9.84,
284,SK네트웍스,"4,540",상승85,+1.91%,"2,500","10,046","221,278",14.53,"199,275",28.92,2.29,
